,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,track_id
2311,0bb9cf55-4c7e-4d5c-9b8b-0a218a4f86c7,0.00451,0.346,0.85,0.000726,0.109,-4.669,0.0426,130.745,0.159,0bb9cf55-4c7e-4d5c-9b8b-0a218a4f86c7
2312,4d7b8ef6-b923-436a-9b6b-d713c71b7469,0.0985,0.51,0.859,5.61e-06,0.216,-3.482,0.0364,131.868,0.252,4d7b8ef6-b923-436a-9b6b-d713c71b7469
2313,5989ce0a-4e5b-4678-9e44-8e6abc806587,0.00118,0.678,0.598,0.878,0.119,-10.04,0.0303,106.21,0.712,5989ce0a-4e5b-4678-9e44-8e6abc806587
2314,eb3728f4-799a-4880-af99-310b09e2e9a1,0.0157,0.714,0.309,0.807,0.0777,-10.796,0.0291,107.346,0.0671,eb3728f4-799a-4880-af99-310b09e2e9a1
2315,a273651e-c1a3-4ff7-a174-3b4e1e413516,0.0173,0.615,0.419,0.497,0.135,-8.8,0.0395,76.997,0.216,a273651e-c1a3-4ff7-a174-3b4e1e413516
2316,c5821641-9545-4f8c-9fa4-53526d69670b,0.0518,0.365,0.806,0.52,0.135,-8.948,0.0849,167.383,0.388,c5821641-9545-4f8c-9fa4-53526d69670b
2317,37c28f25-2c86-4689-b7bc-34e0265175b0,0.555,0.705,0.21,0.88,0.111,-14.007,0.0288,123.961,0.474,37c28f25-2c86-4689-b7bc-34e0265175b0
2318,868fbb81-f5e2-4e72-abb2-9d4ae00221a5,0.0351,0.646,0.602,0.819,0.0635,-11.316,0.0281,131.994,0.662,868fbb81-f5e2-4e72-abb2-9d4ae00221a5
2319,ebf5b7f8-803d-4f03-b112-da922810e757,0.0371,0.727,0.666,0.128,0.157,-9.777,0.0334,129.995,0.564,ebf5b7f8-803d-4f03-b112-da922810e757
2320,675514c6-e440-4df0-b83a-9eb18aa9f2e6,0.00575,0.56,0.455,0.757,0.219,-11.221,0.0304,168.081,0.44,675514c6-e440-4df0-b83a-9eb18aa9f2e6
2321,0ac04c9f-7e65-4f4e-8169-9acad0f598d2,0.0556,0.648,0.586,0.75,0.133,-11.66,0.0284,98.015,0.394,0ac04c9f-7e65-4f4e-8169-9acad0f598d2
2322,312b9581-ebcf-44a8-8860-f209ec3b9a1b,0.0109,0.546,0.749,0.378,0.0854,-8.345,0.0371,95.304,0.136,312b9581-ebcf-44a8-8860-f209ec3b9a1b
2323,95cb7899-0290-48f7-a978-7c0e863506f7,0.929,0.547,0.188,1.2e-06,0.714,-10.676,0.036,135.657,0.192,95cb7899-0290-48f7-a978-7c0e863506f7
2324,12484d1b-f0bf-4b44-808e-d1871b5d4edb,0.322,0.599,0.21,0.48,0.093,-19.329,0.0354,124.866,0.32,12484d1b-f0bf-4b44-808e-d1871b5d4edb
2325,24c3fd9f-d209-4478-9bfe-407ec412990a,0.982,0.441,0.284,0.884,0.136,-12.249,0.0383,88.354,0.21,24c3fd9f-d209-4478-9bfe-407ec412990a
2326,d130fa60-aad7-45eb-896f-8ac6e0837e18,0.0117,0.546,0.771,0.351,0.335,-7.56,0.116,130.224,0.701,d130fa60-aad7-45eb-896f-8ac6e0837e18
2327,8d5b10ab-406f-45b3-9d6b-e9459761f114,0.529,0.489,0.735,0.686,0.422,-8.238,0.0345,159.716,0.528,8d5b10ab-406f-45b3-9d6b-e9459761f114
2328,5d27a1bc-acc7-47e5-ad41-81c893c922ca,0.914,0.38,0.0993,2.32e-05,0.0605,-20.567,0.0509,174.874,0.44,5d27a1bc-acc7-47e5-ad41-81c893c922ca
2329,2d7281da-b86e-4d2e-a8b5-e68a3a548f11,0.00172,0.652,0.593,0.0,0.732,-6.795,0.0748,76.113,0.274,2d7281da-b86e-4d2e-a8b5-e68a3a548f11
2330,e6fd8207-67e7-4f57-9ce9-9b1b0ecb26cd,0.224,0.401,0.516,0.0082,0.175,-6.988,0.0394,153.356,0.442,e6fd8207-67e7-4f57-9ce9-9b1b0ecb26cd
2331,edfad03b-9117-410d-a179-7e5fc6702816,0.13,0.756,0.731,0.0781,0.0982,-7.693,0.0636,142.044,0.3,edfad03b-9117-410d-a179-7e5fc6702816
2332,e4c70afd-4719-4385-8cdd-2e2f9d2a9875,0.478,0.182,0.0784,0.00263,0.137,-26.043,0.0389,106.712,0.0817,e4c70afd-4719-4385-8cdd-2e2f9d2a9875
2333,bf6c0fff-c8bb-41a0-b604-28e576a52499,0.0619,0.63,0.726,0.116,0.265,-8.955,0.0492,120.086,0.538,bf6c0fff-c8bb-41a0-b604-28e576a52499
2334,7c996779-705f-44cb-9640-6229af5a9afb,0.987,0.599,0.0486,0.332,0.13,-22.945,0.036,91.211,0.369,7c996779-705f-44cb-9640-6229af5a9afb
2335,3da661a8-3c30-45a2-84c2-74347f25b321,0.0016,0.215,0.22,0.262,0.442,-19.356,0.0456,117.476,0.033,3da661a8-3c30-45a2-84c2-74347f25b321
2336,7be16deb-ce47-4f6c-9389-ac1067af767a,0.42,0.207,0.304,0.364,0.352,-19.516,0.033,97.123,0.0843,7be16deb-ce47-4f6c-9389-ac1067af767a
2337,c3b936f6-dfca-4791-afd9-e2161120fa73,0.538,0.471,0.363,0.784,0.108,-18.672,0.0359,157.834,0.172,c3b936f6-dfca-4791-afd9-e2161120fa73
